timestamp,carbon_intensity,water_intensity
0,408.98248549240907,1.4157597058003804
900,409.7050437805848,1.417129279782611
1800,411.3874601845443,1.4224367415271222
2700,410.76610073788214,1.4203158516702041
3600,418.71922731340396,1.4748506117604694
4500,417.20276857610736,1.4708057925586393
5400,416.6294336551685,1.469939394873235
6300,417.1140175790293,1.4711580178671086
7200,426.381167931344,1.4814928728953156
8100,426.36201758820306,1.4815646011533863
9000,426.909251612554,1.4839627239586701
9900,425.76365041755787,1.4803019538231432
10800,427.41912492749543,1.4855703844218402
11700,427.12026347760315,1.4853074665576482
12600,426.12626485047497,1.4829035247620623
13500,426.25234674445437,1.4841205616464164
14400,424.9896543832609,1.511551719234113
15300,425.9682039928707,1.514807074892559
16200,425.4479786592846,1.5127244183047406
17100,425.41607422259096,1.5127554057733776
18000,424.57574279518906,1.5053209815146875
18900,424.09411238050177,1.5108393005648377
19800,425.19395619624765,1.4862187089281278
20700,424.95385891694036,1.486183559079122
21600,428.89099255627826,1.506773522714612
22500,429.05245481103026,1.5072884190696658
23400,431.73606049377827,1.516774014313458
24300,432.3575762993916,1.5181031987453537
25200,434.15890355993787,1.539255185467578
26100,433.23357645580285,1.5373637459617546
27000,433.29327706733454,1.538015416749317
27900,431.3104529380169,1.5322665474647166
28800,426.99089924283777,1.5208136830976184
29700,425.0854194782238,1.5152590936638282
30600,424.8737576668592,1.5153790349081968
31500,426.96694057574933,1.5225633030517582
32400,423.3382600469796,1.5071594965031325
33300,422.42736863657586,1.5029944168568132
34200,421.84790022703555,1.5011773943201403
35100,421.05935599094045,1.49758197263013
36000,416.7129557295012,1.4680667674408567
36900,415.89367608662724,1.4656629883077676
37800,415.1738452510266,1.4632333975362517
38700,415.5109934757714,1.4636764688550172
39600,412.1329828378107,1.4525404710357925
40500,411.7008674365284,1.4510259497964648
41400,411.63897397410716,1.4507238883006361
42300,411.848600508789,1.4512265668059525
43200,412.50408811411336,1.4667743869676393
44100,413.2908921164413,1.4689520583464704
45000,414.61830819190027,1.472326902659744
45900,412.84415495350476,1.4666190433167456
